,agency,agency2,OPMname,OPMcode,clinton1,clinton2,gwb1,gwb2,obama
68,selective service system,,SELECTIVE SERVICE SYSTEM,SS00,0.212999996,-0.005500004,-0.366494749,-0.008499995,0.288533334
69,department of state,,DEPARTMENT OF STATE,ST,-0.077649324,-0.243363254,0.18687185,-0.032701187,-0.192020772
70,agency for international development,,AGENCY FOR INTERNATIONAL DEVELOPMENT,ST02,-0.127246138,-0.105031736,0.061577896,-0.09149744,-0.303152889
71,social security administration,,SOCIAL SECURITY ADMINISTRATION,SZ00,-0.14136408,-0.078261086,-0.114451527,-0.180629277,-0.241511337
72,national transportation safety board,,NATIONAL TRANSPORTATION SAFETY BOARD,TB00,-0.158074507,-0.012965986,0.384076911,0.003921145,-0.212556181
73,united states international trade commission,,U.S. INTERNATIONAL TRADE COMMISSION,TC00,0.306022689,0.054201328,-0.286684452,-0.259013539,-0.245805492
74,department of transportation,,DEPARTMENT OF TRANSPORTATION,TD,-0.183330766,-0.146323438,0.000920591,-0.041569403,-0.082313079
75,department of treasury,,DEPARTMENT OF TREASURY,TR,-0.274935507,-0.077590736,0.034622166,-0.150294547,-0.207872241
76,tennessee valley authority,,TENNESSEE VALLEY AUTHORITY,TV00,NA,NA,-0.388166661,-0.320932466,NA
77,VA,,DEPARTMENT OF VETERANS AFFAIRS,VA,-0.012435853,-0.086358874,-0.083586587,-0.159663567,-0.136793176
78,office of the president,,OFFICE OF THE PRESIDENT,WH03,NA,NA,0.394551562,0.433449553,-0.352470249
79,civil service commission,,TRADE DEFICIT REVIEW COMMISSION,ZN00,NA,NA,0.294059823,0.220318444,-0.327078079
